match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12260075,2,3,8,7,,,,,,,,,
12260076,1,2,7,4,3,,,,,,,,
12260077,2,3,6,7,8,,,,5,7,,,
12260078,1,1,7,4,3,,,,,,,,
12260080,0,1,3,4,,,,,,,,,
12260081,2,2,1,6,3,,,,,,,,
12260083,,,,,,,,,,,,,
12260085,1,1,4,5,,,,,,,,,
12261594,3,3,7,6,,,,,,,,,
12261595,2,3,5,7,7,,,,8,,,,
12261596,2,1,6,5,2,,,,,,,,
12276769,2,3,7,7,,,,,,,,,
12276772,1,0,5,5,,,,,,,,,
12276773,0,1,5,5,,,,,,,,,
12276774,1,0,1,6,,,,,6,,,,
12276775,2,3,6,6,,,,,,,,,
12276776,3,3,8,6,,,,7,,,,,
12276781,3,3,7,7,,,,,7,,,,
12276783,3,2,7,3,7,,,,,,,,
12276806,1,1,2,4,,,,,,,,,
12276816,0,0,3,1,,,,,,,,,
12276857,3,3,7,7,,,,,,,,,
12276861,1,1,6,3,3,,,,,,,,
12276862,2,1,4,7,4,,,,7,,,,
12276863,1,0,3,4,,,,,,,,,
12276864,3,2,7,8,,,,,7,,,,
12276924,3,3,7,7,,,,,,,,,
12276925,2,2,6,6,,,,,,,,,
12276927,0,1,4,3,,,,,,,,,
12276928,1,2,4,7,4,,,,,,,,
12276929,2,2,7,6,4,,,9,,,,,
12276934,3,3,6,7,,,,,,,,,
12276937,0,0,2,3,,,,,,,,,
12276938,2,1,2,7,1,,,,,,,,
12276975,0,1,5,0,,,,,,,,,
12276976,2,3,7,7,,,,,,,,,
12276978,2,2,6,6,7,,,,,,,,
12276981,2,2,6,7,,,,,,,,,
12276983,0,0,5,,,,,,,,,,
12276986,1,2,4,7,2,,,,,,,,
12276987,2,1,0,6,1,,,,,,,,
12287004,2,3,7,6,,,,7,,,,,
12287005,0,0,3,1,,,,,,,,,
12287006,2,2,7,4,6,,,8,,,,,
12287007,,,6,0,,,,,,,,,
12287008,1,2,3,8,6,,,,8,5,,,
12287009,0,1,7,6,,,,3,,,,,
12287010,,,,,,,,,,,,,
12287011,1,0,6,2,,,,,,,,,
12287012,1,0,1,7,,,,,3,,,,
12287013,1,2,7,5,4,,,,,,,,
12288044,1,0,5,3,,,,,,,,,
12288048,3,3,7,6,,,,,,,,,
12288050,,,,,,,,,,,,,
12288414,,,,,,,,,,,,,
12288415,,,,,,,,,,,,,
12288416,,,,,,,,,,,,,
12288417,1,1,2,3,,,,,,,,,
12288418,,,,,,,,,,,,,
12288419,2,2,7,7,2,,,2,7,,,,
12288420,0,1,3,3,,,,,,,,,
12288421,1,0,4,4,,,,,,,,,
12288918,0,0,3,6,,,,,,,,,
12288919,2,2,6,6,5,,,,3,,,,
12288920,2,2,7,7,,,,7,,,,,
12288921,0,1,6,0,,,,,,,,,
12288922,2,2,7,3,7,,,,,,,,
12288923,3,3,3,7,7,,,,,,,,
12288924,3,3,7,7,,,,,,,,,
12288925,1,2,8,4,,,,8,,,,,
12288926,3,2,7,7,7,,,,8,,,,
12288929,2,3,6,7,6,,,,3,,,,
12288930,2,2,3,6,6,,,,,,,,
12288931,,,,,,,,,,,,,
12288932,0,0,2,4,,,,,,,,,
12288933,2,3,7,4,6,,,,,,,,
12289656,2,2,6,7,,,,,,,,,
12289658,1,0,1,4,,,,,,,,,
12289660,3,2,7,6,,,,,,,,,
12289663,0,0,2,2,,,,,,,,,
12289664,2,3,7,4,8,,,,,8,,,
12289665,,,,,,,,,,,,,
12289667,1,0,3,4,,,,,,,,,
12289668,0,0,4,4,,,,,,,,,
12289670,2,2,3,7,6,,,,,,,,
12289671,1,0,7,2,,,,6,,,,,
12289672,3,2,6,7,,,,,,,,,
12289674,,,,,,,,,,,,,
12289675,2,3,7,4,6,,,8,,,,,
12289677,1,2,6,3,0,,,,,,,,
12289678,2,2,7,5,7,,,,,,,,
12289690,2,3,7,7,,,,,,,,,
12289691,2,3,7,6,,,,,,,,,
12290721,0,0,3,3,,,,,,,,,
12291185,1,1,7,2,,,,2,,,,,
12291277,0,0,2,3,,,,,,,,,
12291304,0,0,3,3,,,,,,,,,
12291487,0,0,0,2,,,,,,,,,
12291488,0,0,2,1,,,,,,,,,
12291489,2,2,7,6,8,,,,5,8,,,
12291490,1,1,2,7,1,,,,,,,,
12291491,2,2,7,7,,,,,,,,,
12291492,1,2,7,1,2,,,,,,,,
12291493,2,2,6,7,,,,,,,,,
12291497,3,3,6,7,,,,,,,,,
12291498,0,0,1,3,,,,,,,,,
12291506,2,3,7,6,,,,,,,,,
12291593,2,3,7,6,,,,7,,,,,
12291657,2,1,2,7,4,,,,,,,,
12291659,0,0,1,5,,,,,,,,,
