match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12260075,1,1,6,5,,,,,,,,,
12260076,3,2,6,7,6,,,,,,,,
12260077,2,2,4,7,7,,,,8,5,,,
12260078,3,3,5,7,7,,,,,,,,
12260080,2,2,6,6,,,,,,,,,
12260081,3,3,6,4,7,,,,,,,,
12260083,,,,,,,,,,,,,
12260085,2,3,6,8,,,,,,,,,
12261594,1,0,1,5,,,,,,,,,
12261595,1,2,6,6,6,,,,5,,,,
12261596,3,2,0,8,7,,,,,,,,
12276769,1,1,2,2,,,,,,,,,
12276772,2,3,7,7,,,,,,,,,
12276773,2,3,7,7,,,,,,,,,
12276774,3,2,6,7,,,,,7,,,,
12276775,0,0,4,2,,,,,,,,,
12276776,1,0,6,1,,,,1,,,,,
12276781,1,0,6,6,,,,,3,,,,
12276783,1,2,3,6,3,,,,,,,,
12276806,3,3,7,6,,,,,,,,,
12276816,3,3,6,7,,,,,,,,,
12276857,1,0,3,0,,,,,,,,,
12276861,2,3,3,6,7,,,,,,,,
12276862,3,3,6,7,7,,,,3,,,,
12276863,3,2,7,6,,,,,,,,,
12276864,0,1,7,6,,,,,4,,,,
12276924,0,1,4,5,,,,,,,,,
12276925,0,0,5,3,,,,,,,,,
12276927,2,2,7,7,,,,,,,,,
12276928,2,3,6,5,7,,,,,,,,
12276929,2,2,6,7,6,,,7,,,,,
12276934,1,0,1,0,,,,,,,,,
12276937,3,3,7,7,,,,,,,,,
12276938,3,3,6,3,7,,,,,,,,
12276975,3,2,6,6,,,,,,,,,
12276976,0,0,2,2,,,,,,,,,
12276978,1,1,3,8,6,,,,,,,,
12276981,1,1,3,1,,,,,,,,,
12276983,1,0,7,,,,,,,,,,
12276986,3,2,6,4,7,,,,,,,,
12276987,3,3,6,2,6,,,,,,,,
12287004,0,1,7,0,,,,1,,,,,
12287005,2,3,6,6,,,,,,,,,
12287006,1,2,6,7,2,,,6,,,,,
12287007,,,2,1,,,,,,,,,
12287008,2,3,7,7,8,,,,6,7,,,
12287009,2,3,7,7,,,,7,,,,,
12287010,,,,,,,,,,,,,
12287011,3,3,8,7,,,,,,,,,
12287012,2,3,7,7,,,,,8,,,,
12287013,2,2,3,6,7,,,,,,,,
12288044,2,2,8,6,,,,,,,,,
12288048,1,1,4,3,,,,,,,,,
12288050,,,,,,,,,,,,,
12288414,,,,,,,,,,,,,
12288415,,,,,,,,,,,,,
12288416,,,,,,,,,,,,,
12288417,3,3,6,7,,,,,,,,,
12288418,,,,,,,,,,,,,
12288419,3,3,7,6,11,,,8,2,,,,
12288420,2,2,6,6,,,,,,,,,
12288421,2,2,6,6,,,,,,,,,
12288918,2,3,6,7,,,,,,,,,
12288919,3,2,3,7,6,,,,7,,,,
12288920,1,1,7,1,,,,6,,,,,
12288921,1,2,8,5,,,,,,,,,
12288922,1,1,4,7,3,,,,,,,,
12288923,1,1,7,3,5,,,,,,,,
12288924,0,0,4,5,,,,,,,,,
12288925,0,1,7,2,,,,4,,,,,
12288926,1,1,4,7,3,,,,9,,,,
12288929,1,2,3,8,5,,,,8,,,,
12288930,2,1,7,4,5,,,,,,,,
12288931,,,,,,,,,,,,,
12288932,3,3,6,6,,,,,,,,,
12288933,2,2,4,7,5,,,,,,,,
12289656,1,0,2,1,,,,,,,,,
12289658,2,2,7,6,,,,,,,,,
12289660,0,0,2,1,,,,,,,,,
12289663,3,3,7,6,,,,,,,,,
12289664,1,2,4,7,7,,,,,3,,,
12289665,,,,,,,,,,,,,
12289667,2,2,6,7,,,,,,,,,
12289668,2,2,6,6,,,,,,,,,
12289670,1,1,6,2,3,,,,,,,,
