match_id,round_id,name,slug,cup_round_type
12260075,5,Round of 16,round-of-16,8
12260076,5,Round of 16,round-of-16,8
12260077,5,Round of 16,round-of-16,8
12260078,27,Quarterfinals,quarterfinals,4
12260080,5,Round of 16,round-of-16,8
12260081,27,Quarterfinals,quarterfinals,4
12260083,27,Quarterfinals,quarterfinals,4
12260085,5,Round of 16,round-of-16,8
12261594,27,Quarterfinals,quarterfinals,4
12261595,27,Quarterfinals,quarterfinals,4
12261596,27,Quarterfinals,quarterfinals,4
12276769,5,Round of 16,round-of-16,8
12276772,5,Round of 16,round-of-16,8
12276773,5,Round of 16,round-of-16,8
12276774,5,Round of 16,round-of-16,8
12276775,5,Round of 16,round-of-16,8
12276776,5,Round of 16,round-of-16,8
12276781,5,Round of 16,round-of-16,8
12276783,5,Round of 16,round-of-16,8
12276806,5,Round of 16,round-of-16,8
12276816,5,Round of 16,round-of-16,8
12276857,5,Round of 16,round-of-16,8
12276861,5,Round of 16,round-of-16,8
12276862,5,Round of 16,round-of-16,8
12276863,5,Round of 16,round-of-16,8
12276864,5,Round of 16,round-of-16,8
12276924,5,Round of 16,round-of-16,8
12276925,5,Round of 16,round-of-16,8
12276927,5,Round of 16,round-of-16,8
12276928,5,Round of 16,round-of-16,8
12276929,5,Round of 16,round-of-16,8
12276934,5,Round of 16,round-of-16,8
12276937,5,Round of 16,round-of-16,8
12276938,5,Round of 16,round-of-16,8
12276975,5,Round of 16,round-of-16,8
12276976,5,Round of 16,round-of-16,8
12276978,5,Round of 16,round-of-16,8
12276981,5,Round of 16,round-of-16,8
12276983,5,Round of 16,round-of-16,8
12276986,5,Round of 16,round-of-16,8
12276987,5,Round of 16,round-of-16,8
12287004,6,Round of 32,round-of-32,16
12287005,6,Round of 32,round-of-32,16
12287006,6,Round of 32,round-of-32,16
12287007,6,Round of 32,round-of-32,16
12287008,6,Round of 32,round-of-32,16
12287009,6,Round of 32,round-of-32,16
12287010,6,Round of 32,round-of-32,16
12287011,6,Round of 32,round-of-32,16
12287012,6,Round of 32,round-of-32,16
12287013,6,Round of 32,round-of-32,16
12288044,6,Round of 32,round-of-32,16
12288048,6,Round of 32,round-of-32,16
12288050,6,Round of 32,round-of-32,16
12288414,5,Round of 16,round-of-16,8
12288415,5,Round of 16,round-of-16,8
12288416,5,Round of 16,round-of-16,8
12288417,5,Round of 16,round-of-16,8
12288418,5,Round of 16,round-of-16,8
12288419,5,Round of 16,round-of-16,8
12288420,5,Round of 16,round-of-16,8
12288421,5,Round of 16,round-of-16,8
12288918,6,Round of 32,round-of-32,16
12288919,6,Round of 32,round-of-32,16
12288920,6,Round of 32,round-of-32,16
12288921,6,Round of 32,round-of-32,16
12288922,6,Round of 32,round-of-32,16
12288923,6,Round of 32,round-of-32,16
12288924,6,Round of 32,round-of-32,16
12288925,6,Round of 32,round-of-32,16
12288926,6,Round of 32,round-of-32,16
12288929,6,Round of 32,round-of-32,16
12288930,6,Round of 32,round-of-32,16
12288931,6,Round of 32,round-of-32,16
12288932,6,Round of 32,round-of-32,16
12288933,6,Round of 32,round-of-32,16
12289656,6,Round of 32,round-of-32,16
12289658,6,Round of 32,round-of-32,16
12289660,6,Round of 32,round-of-32,16
12289663,6,Round of 32,round-of-32,16
12289664,6,Round of 32,round-of-32,16
12289665,6,Round of 32,round-of-32,16
12289667,6,Round of 32,round-of-32,16
12289668,6,Round of 32,round-of-32,16
12289670,6,Round of 32,round-of-32,16
12289671,6,Round of 32,round-of-32,16
12289672,6,Round of 32,round-of-32,16
12289674,6,Round of 32,round-of-32,16
12289675,6,Round of 32,round-of-32,16
12289677,6,Round of 32,round-of-32,16
12289678,6,Round of 32,round-of-32,16
12289690,6,Round of 32,round-of-32,16
12289691,6,Round of 32,round-of-32,16
12290721,6,Round of 32,round-of-32,16
12291185,6,Round of 32,round-of-32,16
12291277,5,Round of 16,round-of-16,8
