match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12260075,3463,3855,,,,1714510786
12260076,3032,2121,2674,,,1714492157
12260077,2747,3525,4074,,,1714492461
12260078,2519,2531,2121,,,1714577805
12260080,2616,2766,,,,1714482777
12260081,1701,2440,2317,,,1714596710
12260083,,,,,,1714602241
12260085,2777,4401,,,,1714498894
12261594,1857,2879,,,,1714588492
12261595,2687,3986,3432,,,1714564738
12261596,1414,2843,1333,,,1714504393
12276769,1397,2130,,,,1714557665
12276772,2468,3231,,,,1714563236
12276773,3162,2974,,,,1714627769
12276774,1314,4056,,,,1714626056
12276775,2376,1862,,,,1714630358
12276776,3688,1626,,,,1714553909
12276781,3315,4072,,,,1714555522
12276783,2197,2961,2609,,,1714624426
12276806,1781,3149,,,,1714657086
12276816,2342,1945,,,,1714657666
12276857,2543,3974,,,,1714647099
12276861,2916,3980,1991,,,1714658369
12276862,4135,4023,2796,,,1714664332
12276863,2151,2347,,,,1714643105
12276864,5991,3757,,,,1714658100
12276924,2160,2164,,,,1714647948
12276925,2757,2189,,,,1714649494
12276927,3183,2996,,,,1714646138
12276928,2286,3364,2756,,,1714662594
12276929,3393,3199,2453,,,1714583311
12276934,1416,2212,,,,1714653966
12276937,2063,2039,,,,1714578283
12276938,1489,2429,1975,,,1714654013
12276975,3253,2503,,,,1714642298
12276976,2273,2210,,,,1714647354
12276978,2528,3208,2970,,,1714657223
12276981,2240,2583,,,,1714641345
12276983,,,,,,1714645564
12276986,2600,3381,1976,,,1714650711
12276987,1091,2283,1693,,,1714642510
12287004,4299,1522,,,,1714520170
12287005,2521,2171,,,,1714580423
12287006,5220,3111,2656,,,1714512259
12287007,2263,,,,,1714491089
12287008,2280,4000,4221,,,1714515041
12287009,4078,3870,,,,1714590408
12287010,,,,,,
12287011,3499,2218,,,,1714492313
12287012,2681,4384,,,,1714581008
12287013,3067,3848,3206,,,1714535246
12288044,2924,2430,,,,1714481575
12288048,2050,2354,,,,1714493672
12288050,,,,,,
12288414,,,,,,
12288415,,,,,,
12288416,,,,,,
12288417,1504,1903,,,,1714607219
12288418,,,,,,
12288419,2966,2833,802,,,1714599629
12288420,1774,1988,,,,1714603014
12288421,2137,2342,,,,1714597357
12288918,1871,3493,,,,1714574202
12288919,1811,4552,3647,,,1714577266
12288920,3086,1833,,,,1714567878
12288921,4069,1043,,,,1714562297
12288922,2466,2888,3072,,,1714585020
12288923,2176,2466,3491,,,1714486689
12288924,3081,3845,,,,1714567646
12288925,4321,1125,,,,1714576899
12288926,2389,4257,2786,,,1714572197
12288929,2097,4992,2959,,,1714495434
12288930,3045,3431,3167,,,1714561293
12288931,,,,,,
12288932,2138,2066,,,,1714578243
12288933,1918,2272,3843,,,1714483397
12289656,4676,10124,,,,1714485603
12289658,1927,3447,,,,1714491753
