match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
12260075,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12763,Red clay,1000,False,True,False,True,0,2
12260076,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12750,Red clay,1000,False,False,True,True,0,2
12260077,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,False,False,False,False,0,2
12260078,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,True,True,True,True,0,2
12260080,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,True,False,False,True,0,2
12260081,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12763,Red clay,1000,False,True,False,False,0,2
12260083,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12750,Red clay,1000,True,True,True,True,0,2
12260085,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,False,True,False,False,0,2
12261594,129201,"Madrid, Spain",madrid-spain,,WTA,wta,3502,Red clay,1000,True,True,True,False,0,2
12261595,129201,"Madrid, Spain",madrid-spain,,WTA,wta,3502,Red clay,1000,True,True,False,True,0,2
12261596,129201,"Madrid, Spain",madrid-spain,,WTA,wta,3504,Red clay,1000,False,False,False,False,0,2
12276769,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,True,True,True,0,2
12276772,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,False,True,True,0,2
12276773,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,True,True,False,0,2
12276774,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,False,True,False,False,0,2
12276775,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,False,False,True,0,2
12276776,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,False,False,False,False,0,2
12276781,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,False,True,False,True,0,2
12276783,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,False,False,True,0,2
12276806,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,72,Red clay,,True,True,True,True,0,2
12276816,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,72,Red clay,,True,True,False,False,0,2
12276857,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,322,Red clay,175,True,True,True,True,0,2
12276861,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,319,Red clay,175,False,False,False,False,0,2
12276862,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,319,Red clay,175,False,True,True,False,0,2
12276863,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,319,Red clay,175,False,False,True,True,0,2
12276864,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,319,Red clay,175,False,False,False,False,0,2
12276924,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,230,Red clay,125,True,True,False,True,0,2
12276925,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,230,Red clay,125,False,True,False,True,0,2
12276927,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,231,Red clay,125,True,False,True,True,0,2
12276928,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,230,Red clay,125,False,True,True,False,0,2
12276929,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,230,Red clay,125,False,False,False,True,0,2
12276934,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,230,Red clay,125,False,True,True,True,0,2
12276937,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,230,Red clay,125,True,False,False,False,0,2
12276938,129526,"Saint-Malo, France",saint-malo-france,,Challenger Women,challenger-women,231,Red clay,125,False,True,False,False,0,2
12276975,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,111,Red clay,125,True,False,True,True,0,2
12276976,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,110,Red clay,125,False,False,True,True,0,2
12276978,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,110,Red clay,125,True,False,True,False,0,2
12276981,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,110,Red clay,125,False,True,True,False,0,2
12276983,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,111,Red clay,125,True,False,False,True,0,2
12276986,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,111,Red clay,125,False,False,False,False,0,2
12276987,129531,"Lleida, Spain",lleida-spain,,Challenger Women,challenger-women,110,Red clay,125,False,True,False,False,0,2
12287004,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,73,Red clay,,False,True,False,False,0,2
12287005,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,71,Red clay,,False,True,True,True,0,2
12287006,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,73,Red clay,,False,True,True,False,0,2
12287007,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,71,Red clay,,True,True,False,False,0,2
12287008,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,71,Red clay,,True,True,False,False,0,2
12287009,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,71,Red clay,,True,False,False,False,0,2
12287010,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,73,Red clay,,True,True,True,False,0,2
