match_id,city,stadium,venue_id,country
12260075,Madrid,Manolo Santana,21462,Spain
12260076,Madrid,ARANTXA SANCHEZ VICARIO,21466,Spain
12260077,Madrid,Manolo Santana,21462,Spain
12260078,Madrid,Manolo Santana,21462,Spain
12260080,Madrid,ARANTXA SANCHEZ VICARIO,21466,Spain
12260081,Madrid,Manolo Santana,21462,Spain
12260085,Madrid,ARANTXA SANCHEZ VICARIO,21466,Spain
12261594,Madrid,Manolo Santana,21462,Spain
12261595,Madrid,Manolo Santana,21462,Spain
12261596,Madrid,Manolo Santana,21462,Spain
12276769,Guangzhou,Court 2,41517,China
12276772,Guangzhou,Center Court,41518,China
12276773,Guangzhou,Court 6,41623,China
12276774,Guangzhou,Court 2,41517,China
12276775,Guangzhou,Center Court,41518,China
12276776,Guangzhou,Court 2,41517,China
12276781,Guangzhou,Center Court,41518,China
12276783,Guangzhou,Center Court,41518,China
12276806,Porto Alegre,Indoor 2,44264,Brazil
12276816,Porto Alegre,Indoor 1,44263,Brazil
12276857,Cagliari,Campo Centrale,31785,Italy
12276861,Cagliari,Campo 14,31783,Italy
12276862,Cagliari,Campo 2,31784,Italy
12276863,Cagliari,Campo 14,31783,Italy
12276864,Cagliari,Campo Centrale,31785,Italy
12276924,Saint Malo,Court 2,26629,France
12276925,Saint Malo,Court 1,26627,France
12276927,Saint Malo,Central,29581,France
12276928,Saint Malo,Central,29581,France
12276929,Saint Malo,Central,29581,France
12276934,Saint Malo,Court 1,26627,France
12276937,Saint Malo,Court 1,26627,France
12276938,Saint Malo,Central,29581,France
12276975,Lleida,Centre Court,44253,Spain
12276976,Lleida,Court 2,44262,Spain
12276978,Lleida,Centre Court,44253,Spain
12276981,Lleida,Court 1,44254,Spain
12276983,Lleida,Centre Court,44253,Spain
12276986,Lleida,Court 1,44254,Spain
12276987,Lleida,Court 2,44262,Spain
12287004,Porto Alegre,Indoor 1,44263,Brazil
12287005,Porto Alegre,Indoor 1,44263,Brazil
12287006,Porto Alegre,Indoor 1,44263,Brazil
12287007,Porto Alegre,Indoor 1,44263,Brazil
