match_id,home_vote,away_vote
12260075,5926,8590
12260076,7974,1618
12260077,5378,3602
12260078,2458,4290
12260080,2074,11490
12260081,17722,7624
12260083,1434,1472
12260085,2318,6194
12261594,1162,5460
12261595,340,1284
12261596,2318,11406
12276769,300,610
12276772,202,266
12276773,212,654
12276774,296,522
12276775,1024,598
12276776,428,392
12276781,24,344
12276783,472,1384
12276806,370,22
12276816,128,116
12276857,228,2498
12276861,648,214
12276862,556,896
12276863,516,278
12276864,160,2746
12276924,1154,298
12276925,190,10
12276927,732,126
12276928,674,472
12276929,1142,114
12276934,734,774
12276937,318,520
12276938,52,24
12276975,1574,436
12276976,134,40
12276978,502,406
12276981,212,880
12276983,6,430
12276986,596,192
12276987,860,170
12287004,90,6
12287005,352,130
12287006,168,156
12287007,62,586
12287008,22,166
12287009,162,956
12287010,98,56
12287011,44,0
12287012,308,1738
12287013,208,750
12288044,58,346
12288048,16,134
12288050,22,96
12288414,14,22
12288415,50,130
12288416,0,64
12288417,62,22
12288418,10,22
12288419,160,52
12288420,124,22
12288421,0,16
12288918,3744,108
12288919,864,464
12288920,2044,370
12288921,2434,184
12288922,14,1726
12288923,174,2640
12288924,48,50
12288925,1258,1754
12288926,22,296
12288929,814,186
12288930,256,664
12288931,388,282
12288932,460,620
12288933,294,1102
12289656,0,40
12289658,16,64
12289660,2,120
12289663,56,6
12289664,22,82
12289665,0,4
12289667,76,38
12289668,20,32
12289670,4,80
12289671,30,52
12289672,30,10
12289674,2,2
12289675,4,94
12289677,92,14
12289678,20,6
12289690,10,4
12289691,20,34
12290721,384,102
12291185,96,0
12291277,62,0
12291304,16,30
12291487,42,0
12291488,18,4
12291489,16,42
12291490,18,8
12291491,4,48
12291492,20,6
12291493,10,0
12291497,2,28
12291498,10,2
12291506,28,100
12291593,18,66
12291657,38,110
12291659,134,22
12291660,188,20
12291698,2,30
12291700,8,260
12291702,126,334
12291704,48,568
12291706,172,194
12291709,132,442
12291711,152,216
12291712,72,250
12291714,62,124
12291819,32,16
12291832,24,24
12291833,0,10
12292132,14,30
12292140,12,22
12292146,4,10
12292148,56,40
12292151,4,26
12292279,206,12
12292282,34,68
12292287,10,36
12292484,72,4
12292485,2,12
12292487,30,12
12292489,30,10
12292490,36,40
12292491,22,6
12292492,10,18
12292681,0,2
12292682,6,0
12292683,16,22
12292684,46,10
12292685,2,6
12292688,6,4
12292689,4,22
12292691,2,0
12292692,16,4
12292693,6,6
12292694,2,36
12292820,20,118
12292821,28,2
12292822,64,20
12292823,62,28
12292824,22,22
12292825,0,0
12292826,22,42
12292827,46,58
12292828,10,0
12292829,12,82
12292849,32,4
12292850,2,20
12292851,16,0
12292852,54,12
12292853,30,10
12292860,42,26
12292861,82,52
12292863,28,18
12292876,4,4
12292877,0,6
12292878,2,0
12292930,6,36
12292931,28,2
12292932,22,24
12292933,42,128
12292934,18,8
12292935,22,40
12292936,4,58
12292937,10,4
12292938,4,22
12292939,12,12
12292941,0,4
12292942,24,6
12292943,12,0
12292944,4,2
12292945,4,8
12292946,16,16
12292947,4,0
12292948,20,0
12293427,206,48
12293430,12,2
