match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
12260075,1,full_time,True,True,1/9,9/11,1,396197223,False,0
12260075,1,full_time,True,True,3/3,5/5,2,396197355,True,0
12260075,11,first_set_winner,True,False,16/9,5/3,1,396201975,False,0
12260075,11,first_set_winner,True,False,0/3,18/4,2,396202026,False,0
12260075,12,total_games_won,False,False,9/3,10/3,Over,397558778,False,0
12260075,12,total_games_won,False,False,6/3,2/4,Under,397558474,False,0
12260076,1,full_time,False,True,12/10,14/11,1,396992946,True,1
12260076,1,full_time,False,True,16/7,0/3,2,396992953,False,-1
12260076,11,first_set_winner,False,False,13/4,2/7,1,396993461,True,1
12260076,11,first_set_winner,False,False,0/5,9/6,2,396993554,False,-1
12260076,12,total_games_won,False,False,10/10,15/3,Over,397499481,True,0
12260076,12,total_games_won,False,False,11/5,14/3,Under,397499332,True,0
12260077,1,full_time,False,False,3/4,14/2,1,389649689,True,0
12260077,1,full_time,False,False,14/6,6/8,2,389649784,True,0
12260077,11,first_set_winner,False,False,19/4,7/9,1,389655566,True,0
12260077,11,first_set_winner,False,False,7/8,6/8,2,389655915,True,0
12260077,12,total_games_won,True,True,12/10,7/2,Over,394627367,True,1
12260077,12,total_games_won,True,True,0/7,12/9,Under,394627030,True,-1
12260078,1,full_time,False,False,4/6,8/10,1,402494374,False,-1
12260078,1,full_time,False,False,0/3,15/2,2,402494405,True,1
12260078,11,first_set_winner,True,False,14/8,5/8,1,402495458,True,-1
12260078,11,first_set_winner,True,False,2/10,6/4,2,402495493,True,1
12260078,12,total_games_won,True,False,18/7,18/3,Over,403297116,True,-1
12260078,12,total_games_won,True,False,15/8,15/9,Under,403296952,True,1
12260080,1,full_time,False,False,7/11,3/4,1,391849924,True,-1
12260080,1,full_time,False,False,17/8,16/2,2,391850011,False,1
12260080,11,first_set_winner,False,True,1/7,0/5,1,391885236,False,0
12260080,11,first_set_winner,False,True,2/3,2/11,2,391885321,False,0
12260080,12,total_games_won,False,True,9/5,19/6,Over,394566258,False,1
12260080,12,total_games_won,False,True,12/7,15/4,Under,394566136,True,-1
12260081,1,full_time,False,True,16/6,2/7,1,401340798,True,-1
12260081,1,full_time,False,True,17/11,0/8,2,401340910,False,1
12260081,11,first_set_winner,True,True,0/6,12/3,1,401343040,True,-1
12260081,11,first_set_winner,True,True,9/7,4/9,2,401343142,True,1
12260081,12,total_games_won,False,False,2/11,5/10,Over,402596660,True,0
12260081,12,total_games_won,False,False,8/2,17/4,Under,402596616,True,0
12260083,1,full_time,True,True,0/9,18/3,1,403037382,False,1
12260083,1,full_time,True,True,5/3,18/6,2,403037547,False,-1
12260083,11,first_set_winner,True,True,11/4,9/6,1,403039652,,-1
12260083,11,first_set_winner,True,True,18/9,7/9,2,403039664,,1
12260085,1,full_time,True,True,14/3,10/8,1,396197109,False,1
12260085,1,full_time,True,True,13/8,1/2,2,396197129,True,-1
12260085,11,first_set_winner,False,True,18/5,7/10,1,396200735,True,0
12260085,11,first_set_winner,False,True,0/8,13/6,2,396200753,True,0
12260085,12,total_games_won,False,False,14/4,1/7,Over,397519286,False,1
12260085,12,total_games_won,False,False,3/7,19/6,Under,397519270,False,-1
12261594,1,full_time,False,False,0/9,3/2,1,397807103,False,-1
12261594,1,full_time,False,False,3/4,11/6,2,397807105,False,1
12261594,11,first_set_winner,False,True,18/7,13/2,1,397882806,False,-1
12261594,11,first_set_winner,False,True,19/4,16/3,2,397883147,False,1
12261594,12,total_games_won,True,False,17/4,0/2,Over,397882636,True,-1
12261594,12,total_games_won,True,False,18/7,16/7,Under,397882461,True,1
12261595,1,full_time,True,True,15/8,5/4,1,397095847,False,0
12261595,1,full_time,True,True,13/4,15/2,2,397095988,False,0
12261595,11,first_set_winner,False,True,12/4,16/4,1,397097667,True,0
12261595,11,first_set_winner,False,True,2/3,6/10,2,397097686,True,0
12261595,12,total_games_won,False,False,14/10,10/3,Over,397222640,True,0
12261595,12,total_games_won,False,False,2/7,17/4,Under,397222498,False,0
12261596,1,full_time,True,True,7/11,16/4,1,396119621,True,0
12261596,1,full_time,True,True,2/9,16/7,2,396119622,True,0
12261596,11,first_set_winner,True,True,8/9,11/10,1,396121510,False,0
12261596,11,first_set_winner,True,True,14/3,16/3,2,396121746,False,0
12261596,12,total_games_won,True,False,6/9,13/10,Over,397077117,False,0
12261596,12,total_games_won,True,False,11/3,19/2,Under,397077112,True,0
12276769,1,full_time,False,True,11/8,13/11,1,399158306,False,-1
12276769,1,full_time,False,True,12/2,10/3,2,399158319,True,1
12276769,11,first_set_winner,False,False,2/4,0/9,1,399161641,False,-1
12276769,11,first_set_winner,False,False,4/6,1/11,2,399161915,False,1
12276769,12,total_games_won,True,False,16/3,10/11,Over,399399245,False,-1
12276769,12,total_games_won,True,False,5/11,11/2,Under,399399219,False,1
12276772,1,full_time,True,True,7/10,11/4,1,399158046,False,-1
12276772,1,full_time,True,True,7/7,17/11,2,399158103,True,1
12276772,11,first_set_winner,False,True,11/9,10/2,1,399159953,True,-1
12276772,11,first_set_winner,False,True,11/8,17/3,2,399159996,False,1
12276772,12,total_games_won,True,True,17/3,5/10,Over,399389126,False,1
12276772,12,total_games_won,True,True,6/6,6/8,Under,399389062,False,-1
12276773,1,full_time,True,False,17/3,3/2,1,406047050,False,-1
